TimeStamp;ReadsAvg;WritesAvg
1481839976;55.236000000000004;108.0042
1481839977;54.5385;112.4824
1481839978;56.463;111.0014
1481839979;54.3853;108.2067
1481839980;56.2299;109.5218
1481839981;56.5994;110.5653
1481839982;53.4188;106.8199
1481839985;56.6329;109.4283
1481839986;53.9809;107.5468
1481839987;54.4125;109.5108
1481839988;54.2111;107.6629
1481839990;55.9915;106.97200000000001
1481839992;54.6166;109.33
1481839993;54.3505;108.3723
1481839994;54.5856;106.2202
1481839996;53.5917;109.9079
1481839997;53.7193;107.3057
1481839999;56.3029;108.35
1481840000;54.4861;106.2866
1481840001;55.0773;108.9069
1481840002;54.7923;106.7644
1481840004;54.3374;108.1861
1481840006;54.0017;108.9852
1481840008;54.0367;107.12700000000001
1481840010;54.4755;107.2513
1481840011;54.5881;106.1068
1481840012;55.0412;106.5351
1481840013;55.8124;113.9934
1481840014;53.2921;106.6533
1481840015;54.4415;107.8982
1481840017;54.3259;108.7336
1481840019;52.6724;110.1692
1481840020;54.6733;107.7635
1481840021;53.0983;105.8353
1481840023;55.2001;110.816
1481840024;54.0597;106.7345
1481840026;53.7133;107.0845
1481840028;52.8692;105.3078
1481840029;53.2808;105.9896
1481840030;54.3796;108.1449
1481840032;53.347;105.9713
1481840033;53.4504;105.1043
1481840035;52.8064;108.4523
1481840036;52.6617;103.6694
1481840037;53.8624;106.2095
1481840038;53.5699;106.5782
1481840039;57.4419;115.0119
1481840040;53.5368;108.1168
1481840042;53.1821;105.9179
1481840043;53.6196;107.9312
1481840044;53.2256;106.7723
1481840046;52.7331;106.825
1481840047;53.4022;105.4308
1481840050;53.7979;106.7702
1481840051;53.0807;105.0495
1481840054;53.8014;106.2396
1481840055;52.7175;104.948
1481840058;58.4589;115.1409
1481840059;55.413999999999994;112.0964
1481840060;58.2912;124.9958
1481840061;52.7417;105.1698
1481840063;53.04;105.87899999999999
1481840064;53.4597;105.8705
1481840065;54.3233;107.4737
1481840066;53.7802;106.6052
1481840070;53.8719;106.436
1481840071;52.9387;104.9027
1481840072;53.2652;105.1092
1481840074;52.6473;105.5997
1481840081;53.5171;105.1593
1481840084;52.2731;105.3835
1481840087;53.0426;105.8263
1481840088;52.6914;105.7876
1481840096;60.2388;106.0568
1481840097;57.7575;106.0849
1481840100;53.82;106.5973
1481840127;69.9044;142.2681
1481840128;55.5155;107.6817
1481840129;54.137;107.6957
1481840130;54.7686;110.0475
1481840131;60.3484;114.4541
1481840133;62.0058;121.1119
1481840135;56.3784;106.7054
1481840136;59.8881;116.5634
1481840138;54.4572;109.6271
1481840139;54.133;108.0866
1481840140;54.20399999999999;107.5153
1481840141;54.0077;109.7196
1481840142;55.9038;108.3007
1481840143;54.3408;108.5067
1481840146;56.8583;112.5588
1481840147;55.3477;109.8722
1481840149;55.9391;112.2252
1481840151;55.3803;107.5167
1481840152;55.8968;112.9005
1481840156;54.8746;108.2713
1481840157;54.1621;107.6882
1481840158;54.9294;108.8075
1481840159;53.6249;106.5589
1481840160;54.2454;107.0968
1481840161;54.9226;115.4576
1481840162;53.8323;110.4993
1481840163;54.0933;108.3721
1481840164;55.3217;112.26
1481840165;55.0134;107.7728
1481840166;54.8009;108.46700000000001
1481840167;54.8742;106.9965
1481840171;59.7134;113.9669
1481840172;54.9719;108.0253
1481840173;54.528;108.7121
1481840174;57.8899;109.9687
1481840175;53.8439;109.6059
1481840177;54.2122;108.2221
1481840179;55.426;109.6099
1481840180;54.651;110.8943
1481840181;56.1375;108.8345
1481840182;54.3624;105.3679
1481840184;55.1204;109.48700000000001
1481840185;56.0907;110.9171
1481840186;54.2427;108.0654
1481840187;56.1722;109.0619
1481840188;53.9656;107.5203
1481840189;55.6964;109.6628
1481840191;54.4729;106.5711
1481840193;54.9935;111.1164
1481840194;54.4356;108.2799
1481840195;54.3877;107.4617
1481840196;54.786;109.5475
1481840197;56.044;111.47
1481840200;55.4357;107.9615
1481840201;56.9241;111.9011
1481840202;54.1811;108.1553
1481840203;55.7984;112.2223
1481840204;55.6563;109.7625
1481840205;55.3588;111.8952
1481840206;54.286;109.2085
1481840207;58.6329;113.9005
1481840208;58.2314;111.4947
1481840209;56.574;117.9728
1481840210;55.6562;110.4085
1481840213;54.8867;110.6989
1481840214;55.5471;109.9661
1481840215;54.8685;109.5135
1481840217;57.3541;115.587
1481840219;55.8322;108.5219
1481840220;54.8098;110.0711
1481840221;55.3166;109.0069
1481840222;55.4125;112.8815
1481840223;54.9259;109.186
1481840225;54.7953;110.075
1481840226;55.4993;112.1786
1481840228;58.4285;115.5081
1481840229;56.1263;112.87700000000001
1481840230;55.8082;109.444
1481840231;54.9742;109.2536
1481840233;55.5581;107.3377
1481840235;54.0768;108.9355
1481840236;55.9005;117.2977
1481840240;53.8562;106.6794
1481840241;54.6757;107.2326
1481840249;53.4978;106.7981
1481840250;53.1936;106.0923
1481840265;53.051;106.2727
1481840267;52.6637;104.6366
1481840272;52.8107;105.0543
1481840287;60.9988;123.3497
1481840288;54.1244;105.1929
1481840289;53.1054;107.3126
1481840290;53.4859;106.4548
1481840291;53.4081;105.1804
1481840292;53.006;105.8681
1481840293;53.8526;108.1459
1481840294;53.074;105.8804
1481840295;54.3569;109.56200000000001
1481840297;52.5417;106.7355
1481840299;53.013000000000005;105.1535
1481840300;57.2079;113.7289
1481840303;53.5836;104.9927
1481840304;53.1052;106.8629
1481840305;53.012;104.6498
1481840306;53.5966;105.7397
1481840307;53.9627;105.2684
1481840309;54.0737;107.5092
1481840311;52.4727;104.7771
1481840312;54.7218;109.4967
1481840313;53.2785;105.9062
1481840314;52.6601;105.7433
1481840315;53.615;107.0
1481840316;56.7534;109.26
1481840317;53.1132;105.4876
1481840318;54.5128;106.6481
1481840319;53.1751;107.2848
1481840320;53.2587;106.4489
1481840321;53.6064;107.5621
1481840322;53.3896;106.7665
1481840323;53.0268;108.294
1481840326;54.3234;106.1371
1481840328;60.1936;117.8513
1481840329;55.1946;112.2109
1481840330;53.5225;106.9393
1481840331;53.0855;113.5953
1481840333;54.5061;108.6262
1481840337;54.3149;107.9093
1481840338;61.7784;113.5442
1481840339;54.0757;107.4824
1481840340;54.2178;110.55
1481840341;55.0935;108.0345
1481840342;54.4875;107.34899999999999
1481840343;53.6639;107.9519
1481840344;62.6709;119.5498
1481840345;54.3222;108.2227
1481840346;54.4998;106.1861
1481840347;54.2924;106.2513
1481840348;55.1405;108.0037
1481840352;60.1506;125.4621
1481840353;53.8137;108.2863
1481840354;54.9418;106.5891
1481840356;53.8498;108.7669
1481840359;55.3432;109.2904
1481840360;55.4799;107.1912
1481840361;54.591;109.1694
1481840362;54.2421;108.6489
1481840364;54.5995;112.1939
1481840365;53.8458;109.1918
1481840366;55.0541;109.5129
1481840367;55.7507;107.3807
1481840368;55.0546;113.9914
1481840369;54.3216;106.9793
1481840370;53.8413;107.7134
1481840371;55.3374;110.3987
1481840372;55.3089;107.9402
1481840373;56.4507;109.8512
1481840375;56.2173;109.6685
1481840378;62.0847;117.7656
1481840381;56.6696;110.8241
1481840382;53.8108;106.8195
1481840383;54.7462;111.2494
1481840384;53.9108;109.8829
1481840385;54.5562;113.7815
1481840386;57.0108;112.8049
1481840387;55.7912;110.52600000000001
1481840389;55.4546;111.3095
1481840390;54.7819;109.2248
1481840391;55.5154;108.7847
1481840393;56.2395;113.1615
1481840394;54.4516;110.9917
1481840395;54.9513;110.6482
1481840398;58.1813;112.2151
1481840400;56.2526;108.8844
1481840403;53.6124;107.5335
1481840404;53.6816;106.854
1481840411;53.4726;108.0802
1481840414;53.9829;107.2826
1481840426;54.3931;109.2536
1481840427;53.06;105.4816
1481840429;54.0379;106.7154
1481840430;53.0175;106.7856
1481840431;53.1914;106.51899999999999
1481840438;53.0471;105.4247
1481840454;63.7279;129.6976
1481840455;59.0958;124.5955
1481840456;54.0835;105.8441
1481840457;54.6872;109.0065
1481840458;54.3036;110.5424
1481840460;56.4263;108.5285
1481840462;55.0173;107.4126
1481840464;56.2464;114.1849
1481840466;56.2859;112.0589
1481840468;55.58;111.738
1481840470;55.037;109.8626
1481840472;55.2424;110.9909
1481840473;55.4846;109.9037
1481840474;57.342;112.9443
1481840475;54.6092;110.5027
1481840476;55.702;108.72200000000001
1481840477;56.4303;112.4253
1481840478;56.6612;113.7576
1481840479;56.7889;110.8894
1481840481;56.284;109.61399999999999
1481840482;57.71;112.1147
