TimeStamp;LostFrames;noAudioPlayed;avgInterAudioPlayedDelay;NetReadOperations;NetReadBytes;NetReadAvgDelay;noAudioLost;noAudioLate;NoRTPPkts;AvgRTPInterPktDelay;LostRTPPkts;AvgRTPJitter;DispFrames;AvgInterDispDelay
1481833715;0;0;0.0;87;44280;0.011324655050500001;0;0;0;0;0;0;12;0.146742165089
1481833716;0;0;0.0;104;47184;0.007542403844689999;0;0;0;0;0;0;13;0.07618553821860001
1481833718;0;0;0.0;79;44512;0.012885507149;0;0;0;0;0;0;13;0.076091839717
1481833719;0;0;0.0;56;33416;0.0179717838764;0;0;0;0;0;0;13;0.076099395752
1481833722;0;0;0.0;79;32832;0.013245597670299999;0;0;0;0;0;0;13;0.07607485697819999
1481833723;0;0;0.0;50;26304;0.0195201969147;0;0;0;0;0;0;13;0.0760887586153
1481833724;0;0;0.0;45;20872;0.022651380962799998;0;0;0;0;0;0;14;0.07610264846260001
1481833728;0;42;0.0239999521346;65;34864;0.015019306769700001;0;0;0;0;0;0;24;0.0417067507903
1481833730;0;42;0.024000116757;64;34864;0.0173459984362;0;0;0;0;0;0;24;0.04171011845269999
1481833731;0;42;0.023999168759300003;73;38968;0.014459727561600001;0;0;0;0;0;0;24;0.0417078832785
1481833732;0;41;0.0240009528835;89;39824;0.012199292022200001;0;0;0;0;0;0;24;0.0417052904765
1481833734;0;42;0.0240008149828;85;38976;0.0098073314218;0;0;0;0;0;0;24;0.0417071282864
1481833735;0;41;0.024000191107;120;57440;0.00942770838737;0;0;0;0;0;0;24;0.0417094131311
1481833737;0;16;0.0479620546103;81;32832;0.0120499869924;0;0;0;0;0;0;24;0.0417073269685
1481833739;0;5;0.167228794098;62;28720;0.0134657929021;0;0;0;0;0;0;14;0.0417051485607
1481833740;0;0;0.0;99;48872;0.012355038614;0;0;0;0;0;0;9;0.155871099896
1481833741;0;0;0.0;83;35240;0.0109264821891;0;0;0;0;0;0;13;0.0760070727422
1481833742;0;0;0.0;93;47176;0.011084377124700001;0;0;0;0;0;0;13;0.0760443944197
1481833744;0;0;0.0;71;43064;0.0157383227013;0;0;0;0;0;0;14;0.07614271981380001
1481833745;0;0;0.0;70;28728;0.010928600175;0;0;0;0;0;0;13;0.07609215149510001
1481833746;0;0;0.0;60;41848;0.0200672864914;0;0;0;0;0;0;13;0.07613253593439999
1481833749;0;0;0.0;82;38976;0.013821889714500001;0;0;0;0;0;0;13;0.07609378374539999
1481833750;0;0;0.0;64;32816;0.012645345181200002;0;0;0;0;0;0;13;0.07609769014210001
1481833751;0;95;0.133045465068;86;37776;0.0158253492311;0;0;0;0;0;0;14;0.0761484248298
1481833752;0;42;0.0240024725596;53;32808;0.0183388287166;0;0;0;0;0;0;16;0.0610128045082
1481833753;0;42;0.023998215085;65;31976;0.0132849253141;0;0;0;0;0;0;24;0.0417053004106
1481833754;0;41;0.024001656508999998;127;49248;0.009146344943309999;0;0;0;0;0;0;24;0.0417110423247
1481833756;0;42;0.0240006163007;102;47184;0.009924930684709999;0;0;0;0;0;0;24;0.0417085786661
1481833757;0;41;0.0239999992091;180;76760;0.005566940042710001;0;0;0;0;0;0;24;0.0417087972164
1481833759;0;42;0.0239989530473;83;47168;0.0111576620355;0;0;0;0;0;0;24;0.0417090853055
1481833761;0;42;0.024000071343900004;116;54544;0.00842752744412;0;0;0;0;0;0;24;0.0417050421238
1481833763;0;32;0.030254311859599998;82;36928;0.0117979980097;0;0;0;0;0;0;24;0.041712582111400005
1481833764;0;21;0.0302591437385;83;51264;0.0122094470334;0;0;0;0;0;0;24;0.0417034626007
1481833765;0;21;0.05020075752619999;64;34864;0.0153761543334;0;0;0;0;0;0;24;0.0417092541854
1481833766;0;27;0.03646400239730001;91;38984;0.0112901441344;0;0;0;0;0;0;24;0.0417098303636
1481833767;0;10;0.043670892715499995;71;39808;0.0139016903622;0;0;0;0;0;0;23;0.04170482055
1481833771;0;0;0.0;73;30776;0.0126641645823;0;0;0;0;0;0;13;0.0760377737192
1481833772;0;0;0.0;63;32816;0.0189281910185;0;0;0;0;0;0;13;0.07608345838689999
1481833774;0;0;0.0;51;28712;0.0170222123464;0;0;0;0;0;0;13;0.0761590737563
1481833775;0;0;0.0;79;33672;0.0151844930045;0;0;0;0;0;0;13;0.0761014681596
1481833776;0;0;0.0;85;38136;0.0120099544525;0;0;0;0;0;0;14;0.0761325018747
1481833777;0;0;0.0;61;38600;0.016335377927700002;0;0;0;0;0;0;13;0.0761420726776
1481833778;0;0;0.0;72;29928;0.0134929153654;0;0;0;0;0;0;13;0.07615707470819999
1481833780;0;42;0.0240012634368;41;28704;0.0191908813104;0;0;0;0;0;0;19;0.053580409602100004
1481833782;0;42;0.024000020254199998;103;41040;0.00946200009689;0;0;0;0;0;0;24;0.0417087078094
1481833783;0;42;0.0240001224336;73;36920;0.0134698626113;0;0;0;0;0;0;24;0.0417126317819
1481833784;0;41;0.023999853832;83;41024;0.0122927355479;0;0;0;0;0;0;24;0.041705916325300005
1481833785;0;42;0.023999804542200003;85;55360;0.012610797321099999;0;0;0;0;0;0;24;0.0417083700498
1481833787;0;41;0.0239999003527;102;55376;0.007563254412479999;0;0;0;0;0;0;24;0.0417131284873
1481833788;0;42;0.0239989303407;121;57440;0.00963346229112;0;0;0;0;0;0;24;0.0417043765386
1481833789;0;42;0.024001093137799998;71;36920;0.0132098903119;0;0;0;0;0;0;24;0.0417105754217
1481833792;0;38;0.024000318426799998;102;53328;0.008890500255660001;0;0;0;0;0;0;24;0.0417072474957
1481833794;0;21;0.0325183300745;112;50080;0.00864556218897;0;0;0;0;0;0;24;0.0417084991932
1481833795;0;26;0.0526408507274;144;69744;0.00712914599313;0;0;0;0;0;0;24;0.0417095820109
1481833796;0;32;0.031828187406099995;202;105808;0.00504204424301;0;0;0;0;0;0;24;0.041707714398699997
1481833797;0;5;0.0443468093872;171;77960;0.005570507886119999;0;0;0;0;0;0;11;0.0417087078094
1481833798;0;0;0.0;122;49248;0.00839419833949;0;0;0;0;0;0;9;0.16447491116
1481833799;0;0;0.0;102;48024;0.010016978955700001;0;0;0;0;0;0;13;0.076164832482
1481833802;0;0;0.0;182;87000;0.0060262915852299995;0;0;0;0;0;0;13;0.07603054780230001
1481833803;0;0;0.0;136;69736;0.0074176174752900005;0;0;0;0;0;0;13;0.0760242938995
1481833804;0;0;0.0;136;68896;0.0062154496417299995;0;0;0;0;0;0;13;0.07608369680549999
1481833805;0;0;0.0;109;48032;0.0105327794311;0;0;0;0;0;0;13;0.07604853923499999
1481833806;0;84;0.11641597464000002;166;66872;0.0059389148849999995;0;0;0;0;0;0;13;0.07610262357269999
1481833807;0;42;0.0239996172133;152;78784;0.006674895161079999;0;0;0;0;0;0;14;0.07602356161389999
1481833808;0;41;0.0240001969221;156;62768;0.00645521206734;0;0;0;0;0;0;23;0.0425615207009
1481833809;0;42;0.0240003835587;180;76760;0.005532015694510001;0;0;0;0;0;0;24;0.0417097906272
1481833811;0;41;0.0240005341972;186;81224;0.0055474940166700005;0;0;0;0;0;0;24;0.041706164677900004
1481833812;0;42;0.0239995490937;177;74704;0.00563654926537;0;0;0;0;0;0;24;0.041701962550499995
